ISIN,Symbol,Name,Series,Instrument_ID,Symbol_NSE,Name_NSE,Symbol_BSE,Name_BSE,Series_BSE,BSE_Code
DUMMY0000054,AXISHCINAV,AXISHCETF INAV,EQ,9974.0,AXISHCINAV,AXISHCETF INAV,,,,
DUMMY0000055,AXISBPINAV,AXISBPSETF INAV,EQ,9986.0,AXISBPINAV,AXISBPSETF INAV,,,,
DUMMY0000056,AXISBNINAV,AXISBNKETF INAV,EQ,9987.0,AXISBNINAV,AXISBNKETF INAV,,,,
DUMMY0000057,AXISCEINAV,AXISCETF INAV,EQ,9988.0,AXISCEINAV,AXISCETF INAV,,,,
DUMMY0000058,AXISNIINAV,AXISNIFTY INAV,EQ,9989.0,AXISNIINAV,AXISNIFTY INAV,,,,
DUMMY0000059,AXISTEINAV,AXISTECETF INAV,EQ,9996.0,AXISTEINAV,AXISTECETF INAV,,,,
DUMMY0000060,DSPNEWINAV,DSPNEWETF INAV,EQ,9997.0,DSPNEWINAV,DSPNEWETF INAV,,,,
DUMMY0000061,DSPN50INAV,DSPN50ETF INAV,EQ,10004.0,DSPN50INAV,DSPN50ETF INAV,,,,
DUMMY0000062,DSPQ50INAV,DSPQ50ETF INAV,EQ,10005.0,DSPQ50INAV,DSPQ50ETF INAV,,,,
DUMMY0000063,LIQUIEINAV,LIQUIDETF INAV,EQ,10007.0,LIQUIEINAV,LIQUIDETF INAV,,,,
DUMMY0000064,EBANKINAV,EBANK INAV,EQ,10008.0,EBANKINAV,EBANK INAV,,,,
DUMMY0000065,EBBE23INAV,EBBETF0423 INAV,EQ,10012.0,EBBE23INAV,EBBETF0423 INAV,,,,
DUMMY0000066,EBBE30INAV,EBBETF0430 INAV,EQ,10016.0,EBBE30INAV,EBBETF0430 INAV,,,,
DUMMY0000067,EBBE31INAV,EBBETF0425 INAV,EQ,10017.0,EBBE31INAV,EBBETF0425 INAV,,,,
DUMMY0000068,EBBE32INAV,EBBETF0431 INAV,EQ,10019.0,EBBE32INAV,EBBETF0431 INAV,,,,
DUMMY0000069,BBETF0INAV,BBETF0432 INAV,EQ,10021.0,BBETF0INAV,BBETF0432 INAV,,,,
DUMMY0000070,HBANKEINAV,HBANKETF INAV,EQ,10022.0,HBANKEINAV,HBANKETF INAV,,,,
DUMMY0000071,HDFCNFINAV,HDFCNIFETF INAV,EQ,10023.0,HDFCNFINAV,HDFCNIFETF INAV,,,,
DUMMY0000072,HDFCSEINAV,HDFCSENETF INAV,EQ,10024.0,HDFCSEINAV,HDFCSENETF INAV,,,,
DUMMY0000073,ICICIKINAV,ICICIBANKN INAV,EQ,10025.0,ICICIKINAV,ICICIBANKN INAV,,,,
DUMMY0000074,ICICIPINAV,ICICIMCAP INAV,EQ,10026.0,ICICIPINAV,ICICIMCAP INAV,,,,
DUMMY0000075,ICICI2INAV,ICICIB22 INAV,EQ,10028.0,ICICI2INAV,ICICIB22 INAV,,,,
DUMMY0000076,ICICIOINAV,ICICIAUTO INAV,EQ,10030.0,ICICIOINAV,ICICIAUTO INAV,,,,
DUMMY0000077,ICISECINAV,ICICI5GSEC INAV,EQ,10183.0,ICISECINAV,ICICI5GSEC INAV,,,,
DUMMY0000078,ICICICINAV,ICICICONSU INAV,EQ,10031.0,ICICICINAV,ICICICONSU INAV,,,,
DUMMY0000079,ICICIFINAV,ICICIFMCG INAV,EQ,10033.0,ICICIFINAV,ICICIFMCG INAV,,,,
DUMMY0000080,ICICIRINAV,ICICIPHARM INAV,EQ,10042.0,ICICIRINAV,ICICIPHARM INAV,,,,
DUMMY0000081,ICICITINAV,ICICITECH INAV,EQ,10043.0,ICICITINAV,ICICITECH INAV,,,,
DUMMY0000082,ICICIQINAV,ICICILIQ INAV,EQ,10044.0,ICICIQINAV,ICICILIQ INAV,,,,
DUMMY0000083,ICICIMINAV,ICICIM150 INAV,EQ,10045.0,ICICIMINAV,ICICIM150 INAV,,,,
DUMMY0000084,ICICIXINAV,ICICINXT50 INAV,EQ,10047.0,ICICIXINAV,ICICINXT50 INAV,,,,
DUMMY0000085,ICICI5INAV,ICICI500 INAV,EQ,10048.0,ICICI5INAV,ICICI500 INAV,,,,
DUMMY0000086,ICICIAINAV,ICICIALPLV INAV,EQ,10049.0,ICICIAINAV,ICICIALPLV INAV,,,,
DUMMY0000087,ICICI1INAV,ICICINF100 INAV,EQ,10050.0,ICICI1INAV,ICICINF100 INAV,,,,
DUMMY0000088,ICICIYINAV,ICICINIFTY INAV,EQ,10054.0,ICICIYINAV,ICICINIFTY INAV,,,,
DUMMY0000089,ICICILINAV,ICICILOVOL INAV,EQ,10057.0,ICICILINAV,ICICILOVOL INAV,,,,
