symbol,company,isin,exchange,sector
KOTAKPINAV,KOTAKPSUBK INAV,DUMMY0000098,NSE,Unknown
KOTAKIINAV,KOTAKIT INAV,DUMMY0000099,NSE,Unknown
KOTAKMINAV,KOTAKMID50 INAV,DUMMY0000100,NSE,Unknown
KOTAKAINAV,KOTAKALPHA INAV,DUMMY0000101,NSE,Unknown
KOTAKNINAV,KOTAKNIFTY INAV,DUMMY0000102,NSE,Unknown
KOTAKLINAV,KOTAKLOVOL INAV,DUMMY0000103,NSE,Unknown
LICNFNINAV,LICNFNHGP INAV,DUMMY0000104,NSE,Unknown
LICN50INAV,LICNETFN50 INAV,DUMMY0000105,NSE,Unknown
LICNGSINAV,LICNETFGSC INAV,DUMMY0000106,NSE,Unknown
LICNETINAV,LICNETFSEN INAV,DUMMY0000107,NSE,Unknown
MAHKTEINAV,MAHKTECH INAV,DUMMY0000108,NSE,Unknown
MAN50EINAV,MAN50ETF INAV,DUMMY0000109,NSE,Unknown
MAFSETINAV,MAFSETF INAV,DUMMY0000110,NSE,Unknown
MAMFGEINAV,MAMFGETF INAV,DUMMY0000111,NSE,Unknown
MAM150INAV,MAM150ETF INAV,DUMMY0000112,NSE,Unknown
MANXT5INAV,MANXT50 INAV,DUMMY0000113,NSE,Unknown
MAFANGINAV,MAFANG INAV,DUMMY0000114,NSE,Unknown
MASPTOINAV,MASPTOP50 INAV,DUMMY0000115,NSE,Unknown
MAESGEINAV,MAESGETF INAV,DUMMY0000116,NSE,Unknown
MOGSECINAV,MOGSEC INAV,DUMMY0000117,NSE,Unknown
MOM100INAV,MOM100 INAV,DUMMY0000118,NSE,Unknown
MOM50INAV,MOM50 INAV,DUMMY0000119,NSE,Unknown
MONQ50INAV,MONQ50 INAV,DUMMY0000120,NSE,Unknown
MOMOMEINAV,MOMOMENTUM INAV,DUMMY0000121,NSE,Unknown
MON100INAV,MON100 INAV,DUMMY0000122,NSE,Unknown
MOLOWVINAV,MOLOWVOL INAV,DUMMY0000123,NSE,Unknown
LIQUIDINAV,LIQUIDBEES INAV,DUMMY0000124,NSE,Unknown
LTGILTINAV,LTGILTBEES INAV,DUMMY0000125,NSE,Unknown
MID150INAV,MID150BEES INAV,DUMMY0000126,NSE,Unknown
ITBEESINAV,ITBEES INAV,DUMMY0000127,NSE,Unknown
SDL24BINAV,SDL24BEES INAV,DUMMY0000128,NSE,Unknown
SDL26BINAV,SDL26BEES INAV,DUMMY0000129,NSE,Unknown
GILT5YINAV,GILT5YBEES INAV,DUMMY0000130,NSE,Unknown
PHARMAINAV,PHARMABEES INAV,DUMMY0000131,NSE,Unknown
AUTOBEINAV,AUTOBEES INAV,DUMMY0000132,NSE,Unknown
QNIFTYINAV,QNIFTY INAV,DUMMY0000133,NSE,Unknown
SBILTYINAV,SBIETFQLTY INAV,DUMMY0000134,NSE,Unknown
SBICONINAV,SBIETFCON INAV,DUMMY0000135,NSE,Unknown
SBIFPBINAV,SBIETFPB INAV,DUMMY0000136,NSE,Unknown
SETF10INAV,SETF10GILT INAV,DUMMY0000137,NSE,Unknown
SBIETFINAV,SBIETFIT INAV,DUMMY0000138,NSE,Unknown
SETF50INAV,SETFNIF50 INAV,DUMMY0000139,NSE,Unknown
SETFNIINAV,SETFNIFBK INAV,DUMMY0000140,NSE,Unknown
SETFNNINAV,SETFNN50 INAV,DUMMY0000141,NSE,Unknown
NETFINAV,NETF INAV,DUMMY0000142,NSE,Unknown
TNIDETINAV,TNIDETF INAV,DUMMY0000143,NSE,Unknown
NPBETINAV,NPBET INAV,DUMMY0000144,NSE,Unknown
UTIBANINAV,UTIBANKETF INAV,DUMMY0000145,NSE,Unknown
UTINEXINAV,UTINEXT50 INAV,DUMMY0000146,NSE,Unknown
UTINIFINAV,UTINIFTETF INAV,DUMMY0000147,NSE,Unknown
UTISENINAV,UTISENSETF INAV,DUMMY0000148,NSE,Unknown
UTISXNINAV,UTISXN50 INAV,DUMMY0000149,NSE,Unknown
HDF100INAV,HDFCNIF100 INAV,DUMMY0000150,NSE,Unknown
HDFC50INAV,HDFCNEXT50 INAV,DUMMY0000151,NSE,Unknown
KOCONSINAV,KOTAKMAMC - KOCONSINAV,DUMMY0000152,NSE,Unknown
MOHLTHINAV,MOTILALAMC - MOHLTHINAV,DUMMY0000153,NSE,Unknown
ICICMOINAV,ICICIPRAMC - ICICMOINAV,DUMMY0000154,NSE,Unknown
KOKMNCINAV,KOTAKMAMC - KOTAKMNCINAV,DUMMY0000155,NSE,Unknown
MOMNTMINAV,BIRLASLAMC - MOMNTMINAV,DUMMY0000156,NSE,Unknown
NFQLTYINAV,BIRLASLAMC - NFQLTYINAV,DUMMY0000157,NSE,Unknown
ICINFRINAV,ICICIPRAMC - ICINFRINAV,DUMMY0000158,NSE,Unknown
DSPSILINAV,DSPAMC - DSPSILINAV,DUMMY0000159,NSE,Unknown
HDFCSIINAV,HDFCAMC - HDFCSIINAV,DUMMY0000160,NSE,Unknown
AXISILINAV,AXISAMC - AXISILINAV,DUMMY0000161,NSE,Unknown
HDFCGRINAV,HDFCAMC - HDFCGRINAV,DUMMY0000162,NSE,Unknown
HDFCQUINAV,HDFCAMC - HDFCQUINAV,DUMMY0000163,NSE,Unknown
HDFCVLINAV,HDFCAMC - HDFCVLINAV,DUMMY0000164,NSE,Unknown
HDFCMOINAV,HDFCAMC - HDFCMOMENT,DUMMY0000165,NSE,Unknown
HDFCLVINAV,HDFCAMC - HDFCLOWVOL,DUMMY0000166,NSE,Unknown
HDFCPBINAV,HDFCAMC - HDFCPBINAV,DUMMY0000168,NSE,Unknown
ICIFININAV,ICICIPRAMC-ICIFININAV,DUMMY0000169,NSE,Unknown
KOTAKSINAV,KOTAKMAMC - KOTAKSINAV,DUMMY0000170,NSE,Unknown
EBB433INAV,EDELAMC - EBB433INAV,DUMMY0000171,NSE,Unknown
IC10GSINAV,ICICIPRAMC - IC10GSINAV,DUMMY0000172,NSE,Unknown
ICICOMINAV,ICICIPRAMC - ICICOMINAV,DUMMY0000173,NSE,Unknown
DSPBNKINAV,DSPAMC - DSPBNKINAV,DUMMY0000174,NSE,Unknown
KOTLIQINAV,KOTAKMAMC - KOTLIQINAV,DUMMY0000175,NSE,Unknown
HBS500INAV,HDFCAMC - HBS500INAV,DUMMY0000176,NSE,Unknown
HMI150INAV,HDFCAMC - HMI150INAV,DUMMY0000177,NSE,Unknown
HSM250INAV,HDFCAMC - HSM250INAV,DUMMY0000178,NSE,Unknown
MAGOLDINAV,MIRAEAMC - MAGOLDINAV,DUMMY0000179,NSE,Unknown
ABSLLQINAV,BIRLASLAMC - ABSLLQINAV,DUMMY0000180,NSE,Unknown
PSBKICINAV,ICICIPRAMC - PSBKICINAV,DUMMY0000181,NSE,Unknown
AXSNSXINAV,AXISAMC - AXSNSXINAV,DUMMY0000182,NSE,Unknown
MNV30FINAV,MIRAEAMC - MNV30FINAV,DUMMY0000183,NSE,Unknown
MAG813INAV,MIRAEAMC - MAG813INAV,DUMMY0000184,NSE,Unknown
SILETFINAV,UTIAMC - SILETFINAV,DUMMY0000185,NSE,Unknown
DSPGOINAV,DSPAMC - DSPGOLDETF,DUMMY0000186,NSE,Unknown
MASILINAV,MIRAEAMC - MASILINAV,DUMMY0000187,NSE,Unknown
HDFCNIINAV,HDFCAMC - HDFCNIINAV,DUMMY0000188,NSE,Unknown
DSPNITINAV,DSPAMC - DSPNITINAV,DUMMY0000189,NSE,Unknown
BNKETFINAV,MIRAEAMC - BNKETFINAV,DUMMY0000190,NSE,Unknown
LIQIDINAV,MIRAEAMC - LIQIDINAV,DUMMY0000191,NSE,Unknown
DSPPVBINAV,DSPAMC - DSPPVBINAV,DUMMY0000192,NSE,Unknown
DSPPSBINAV,DSPAMC - DSPPSBINAV,DUMMY0000193,NSE,Unknown
DSPSENINAV,DSPAMC - DSPSENINAV,DUMMY0000194,NSE,Unknown
ICIQ30INAV,ICICIPRAMC - ICIQ30INAV,DUMMY0000195,NSE,Unknown
HDFLIQINAV,HDFCAMC - HDFLIQINAV,DUMMY0000196,NSE,Unknown
NIM150INAV,UTIAMC - NIM150INAV,DUMMY0000197,NSE,Unknown
NAVNIFINAV,NAVIAMC - NAVNIFINAV,DUMMY0000198,NSE,Unknown
SENSEXINAV,MIRAEAMC - SENSEXINAV,DUMMY0000199,NSE,Unknown
MON500INAV,MOTILALAMC - MON500INAV,DUMMY0000200,NSE,Unknown
ITETFINAV,MIRAEAMC - ITETFINAV,DUMMY0000201,NSE,Unknown
ALPHAINAV,MIRAEAMC - ALPHAINAV,DUMMY0000202,NSE,Unknown
LIQSBIINAV,SBIAMC - LIQSBIINAV,DUMMY0000203,NSE,Unknown
EGOLDINAV,EDELAMC - EGOLDINAV,DUMMY0000204,NSE,Unknown
ESILINAV,EDELAMC - ESILVER,DUMMY0000205,NSE,Unknown
BNGOLDINAV,BARODABNP - BNGOLDINAV,DUMMY0000206,NSE,Unknown
TAGOLDINAV,TATAAML-TAGOLDINAV,DUMMY0000207,NSE,Unknown
TASILVINAV,TATAAML-TASILVINAV,DUMMY0000208,NSE,Unknown
LIQCASINAV,ZERODHAAMC - LIQCASINAV,DUMMY0000209,NSE,Unknown
BANKBINAV,BFAM - BANKBETF,DUMMY0000210,NSE,Unknown
NIFTYBINAV,BFAM - NIFTYBETF,DUMMY0000211,NSE,Unknown
NIFITEINAV,UTIAMC - NIFITEINAV,DUMMY0000212,NSE,Unknown
NIF5GINAV,UTIAMC - NIF5GINAV,DUMMY0000213,NSE,Unknown
NIF10GINAV,UTIAMC - NIF10GINAV,DUMMY0000214,NSE,Unknown
HEALADINAV,DSPAMC - HEALADINAV,DUMMY0000215,NSE,Unknown
HDFPBKINAV,HDFCAMC HDFPBKINAV,DUMMY0000216,NSE,Unknown
LICNMDINAV,LICNAMC - LICNMDINAV,DUMMY0000217,NSE,Unknown
SMACAPINAV,MIRAEAMC - SMACAPINAV,DUMMY0000218,NSE,Unknown
GLDCASINAV,ZERODHAAMC - GLDCASINAV,DUMMY0000219,NSE,Unknown
MOREALINAV,MOTILALAMC - MOREALINAV,DUMMY0000220,NSE,Unknown
MOS250INAV,MOTILALAMC - MOS250INAV,DUMMY0000221,NSE,Unknown
LIQADDINAV,DSPAMC - LIQADDINAV,DUMMY0000222,NSE,Unknown
ABSPSEINAV,BIRLASLAMC-ABSPSEINAV,DUMMY0000223,NSE,Unknown
MIDSMAINAV,MIRAEAMC - MIDSMAINAV,DUMMY0000224,NSE,Unknown
LIQETFINAV,BFAM - LIQETFINAV,DUMMY0000225,NSE,Unknown
TOP100INAV,ZERODHAAMC - TOP100INAV,DUMMY0000226,NSE,Unknown
MD150CINAV,ZERODHAAMC - MD150CINAV,DUMMY0000227,NSE,Unknown
BBNPNBINAV,BARODABNP - BBNPNBINAV,DUMMY0000228,NSE,Unknown
SBISILINAV,SBIAMC - SBISILINAV,DUMMY0000229,NSE,Unknown
LIQSHRINAV,SHRIRAM - LIQSHRINAV,DUMMY0000230,NSE,Unknown
ABGSECINAV,BIRLASLAMC - ABGSECINAV,DUMMY0000231,NSE,Unknown
EVINDINAV,MIRAEAMC - EVINDINAV,DUMMY0000232,NSE,Unknown
SBINEQINAV,SBIAMC - SBINEQINAV,DUMMY0000233,NSE,Unknown
OILETFINAV,ICICIPRAMC - OILETFINAV,DUMMY0000234,NSE,Unknown
GROWEVINAV,GROWWAMC - GROWEVINAV,DUMMY0000235,NSE,Unknown
GSEC10INAV,BIRLASLAMC - GSEC10INAV,DUMMY0000236,NSE,Unknown
METALIINAV,ICICIPRAMC - METALIINAV,DUMMY0000237,NSE,Unknown
MODEFINAV,MOTILALAMC - MODEFINAV,DUMMY0000238,NSE,Unknown
MULCAPINAV,MIRAEAMC - MULCAPINAV,DUMMY0000239,NSE,Unknown
TOP10AINAV,DSPAMC - TOP10AINAV,DUMMY0000240,NSE,Unknown
EBNKNFINAV,EDELAMC - EBNKNFINAV,DUMMY0000241,NSE,Unknown
GROLIQINAV,GROWWAMC - GROLIQINAV,DUMMY0000242,NSE,Unknown
MOME50INAV,MOTILALAMC - MOME50INAV,DUMMY0000243,NSE,Unknown
